OS,Casuistica,Fecha,Observacion
-28568625,no programar,,
-28584806,no programar,,
-28654816,brigada pesada,,
-28654815,ejecutado,,
-28653753,brigada pesada,,
-28653754,ejecutado,,
-28654824,ejecutado,,
-28653749,ejecutado,,
-28653360,brigada pesada,,
-28654882,brigada pesada,,
-28655242,brigada pesada,,
-28653111,ejecutado,,
-28653019,ejecutado,,
-28654829,ejecutado,,
-28655235,canasta,,
-28654993,canasta,,
-28655234,ejecutado,15/1/2025,
-28656644,canasta,,
-28654998,ejecutado,,
-28655237,brigada pesada,,
-28656733,ejecutado,,
-28656645,brigada pesada,,
-28655236,ejecutado,,
-28654852,canasta,,
-28656732,brigada pesada,,
-28655233,ejecutado,,
-28654860,canasta,,
-28655589,brigada pesada,,
-28656648,brigada pesada,,
-28655231,ejecutado,,
-28655228,canasta,,
-28656641,brigada pesada,,
-28655230,ejecutado,,
-28656637,canasta,,
-28656650,ejecutado,,
-28655227,canasta,,
-28656649,brigada pesada,,
-28655225,brigada pesada,,
-28655198,caja concentradora,,
-28656731,ejecutado,,
-28653577,ejecutado,,
-28655486,especial,,
-28656250,caja concentradora,,
-28655240,canasta,,
-28655239,ejecutado,,
-28653751,brigada pesada,,
-28655002,especial,,
-28655247,ejecutado,,
-28654832,ejecutado,,
-28655243,ejecutado,,
-28656730,canasta,,
-28656647,canasta,,
-28655241,brigada pesada,,
-28654988,canasta,,
-28656639,ejecutado,,
-28654999,ejecutado,,
-28655248,brigada pesada,,
-28642881,canasta,,
-28655224,ejecutado,,
-28655226,ejecutado,,
-28648062,primaria,,
-28656783,canasta,,
-28653750,ejecutado,,
-28655245,ejecutado,,
-28657617,ejecutado,,
-28657614,ejecutado,,
-28657616,ejecutado,,
-28657613,ejecutado,,
-28657612,ejecutado,,
-28657618,ejecutado,,
-28657611,ejecutado,,
-28657615,ejecutado,,
-28752918,brigada pesada,,
-28658226,especial,,
-28656638,brigada pesada,,
-28658318,ejecutado,,
-28656884,brigada pesada,,
-28656882,canasta,,
-28658224,canasta,16/1/2025,
-28658206,brigada pesada,,
-28656678,brigada pesada,,
-28658228,ejecutado,,
-28656883,ejecutado,,
-28658208,brigada pesada,,
-28658209,ejecutado,,
-28658221,brigada pesada,,
-28656888,brigada pesada,,
-28658201,ejecutado,,
-28656887,brigada pesada,,
-28658207,brigada pesada,,
-28658227,ejecutado,,
-28658217,canasta,,
-28656881,canasta,,
-28655463,especial,,
-28658219,ejecutado,,
-28658203,ejecutado,,
-28653584,canasta,,
-28656886,ejecutado,,
-28658222,ejecutado,,
-28658320,ejecutado,,
-28658216,brigada pesada,,
-28656646,brigada pesada,,
-28658204,brigada pesada,,
-28642803,canasta,,
-28627724,canasta,,
-28631705,no programar,,
-28656640,canasta,,
-28605742,canasta,,
-28655244,brigada pesada,,
-28658210,ejecutado,,
-28657054,ejecutado,,
-28656889,brigada pesada,,
-28658230,ejecutado,,
-28655406,ejecutado,,
-28656659,ejecutado,,
-28656891,ejecutado,,
-28658213,ejecutado,,
-28658231,brigada pesada,,
-28658205,ejecutado,,
-28658212,brigada pesada,,
-28655384,canasta,,
-28656885,brigada pesada,,
-28602428,canasta,,
-28658215,canasta,,
-28656890,ejecutado,,
-28658218,canasta,,
-28658214,canasta,,
-28658223,ejecutado,,
-28658225,brigada pesada,,
-28656749,brigada pesada,,
120714787,primaria,,
121477329,caja concentradora,,
121475642,caja concentradora,,
121476688,caja concentradora,,
121476676,caja concentradora,,
121475619,caja concentradora,,
121476839,caja concentradora,,
-28659663,caja concentradora,,
121476874,caja concentradora,,
121476539,caja concentradora,,
121476926,caja concentradora,,
121476858,caja concentradora,,
121475146,caja concentradora,,
121477239,caja concentradora,,
121473564,caja concentradora,,
121476613,ejecutado,,
-28659637,ejecutado,,
-28658246,ejecutado,,
121477371,brigada pesada,17/1/2025,
-28659675,ejecutado,,
-28658244,ejecutado,,
-28659158,ejecutado,,
121475550,brigada pesada,,
-28658252,ejecutado,,
-28658257,ejecutado,,
-28659639,brigada pesada,,
-28626937,canasta,,
-28608434,canasta,,
-28642602,no programar,,
-28659638,canasta,,
121477436,ejecutado,,
-28659630,ejecutado,,
121477264,brigada pesada,,
-28659633,brigada pesada,,
-28658256,especial,,
-28659636,canasta,,
-28657727,ejecutado,,
-28659635,ejecutado,,
121472057,ejecutado,,
